model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
ref0,none,0,26944.xml,100.0,100,1.0,Completed,Town04,17,477.8,1278,86.8,0.71
post31,none,0,27494.xml,53.07,53.07,1.0,Failed - Agent deviated from the route,Town04,9,163.2,308,71.1,0.065
rung2a_recipe,none,0,27494.xml,53.07,53.07,1.0,Failed - Agent deviated from the route,Town04,9,142.8,244,71.3,0.041
rung2ad_recipe,none,0,27494.xml,51.7,51.7,1.0,Failed - Agent deviated from the route,Town04,9,151.7,260,70.9,0.039
rung3_recipe,none,0,27494.xml,60.0,100,0.6,Completed,Town04,18,198.1,494,84.7,0.377
ref0,none,0,27494.xml,100.0,100,1.0,Completed,Town04,17,233.1,524,86.1,0.379
post31,none,0,27529.xml,8.12825,50.02,0.1625,Failed - Agent got blocked,Town04,12,554.9,1403,44.5,0.863
rung2a_recipe,none,0,27529.xml,12.7088,48.88,0.26,Failed - Agent got blocked,Town04,12,532.0,1372,42.5,0.882
rung2ad_recipe,none,0,27529.xml,40.0,100,0.4,Completed,Town04,21,172.0,341,69.0,0.2
rung3_recipe,none,0,27529.xml,20.008,50.02,0.4,Failed - Agent deviated from the route,Town04,11,130.5,238,61.8,0.051
ref0,none,0,27529.xml,100.0,100,1.0,Completed,Town04,19,209.2,486,69.8,0.416
post31,none,0,28048.xml,37.485,53.55,0.7,Failed - Agent deviated from the route,Town02,10,123.1,232,69.0,0.043
rung2a_recipe,none,0,28048.xml,37.485,53.55,0.7,Failed - Agent deviated from the route,Town02,10,113.5,233,68.9,0.043
rung2ad_recipe,none,0,28048.xml,37.485,53.55,0.7,Failed - Agent deviated from the route,Town02,10,119.2,227,68.8,0.044
rung3_recipe,none,0,28048.xml,45.5,100,0.455,Completed,Town02,20,142.4,299,82.9,0.117
ref0,none,0,28048.xml,100.0,100,1.0,Completed,Town02,18,288.1,772,83.7,0.663
post31,none,0,28198.xml,22.724,34.96,0.65,Failed - TickRuntime,Town15,6,1023.7,3999,32.2,0.972
rung2a_recipe,none,0,28198.xml,14.2025,21.85,0.65,Failed - TickRuntime,Town15,4,1001.3,3999,20.5,0.983
rung2ad_recipe,none,0,28198.xml,24.4855,37.67,0.65,Failed - TickRuntime,Town15,7,802.4,3999,34.9,0.973
rung3_recipe,none,0,28198.xml,21.243507,34.96,0.607652,Failed - TickRuntime,Town15,7,735.1,3999,32.9,0.973
ref0,none,0,28198.xml,100.0,100,1.0,Completed,Town15,19,91.4,310,83.8,0.175
